Date,1Week,1Month,2Month,3Month,6Month,12Month
2014-01-02,2.51,2.56,2.61,2.66,2.72,2.78
2014-01-03,2.51,2.56,2.6,2.65,2.71,2.78
2014-01-06,2.51,2.55,2.6,2.65,2.71,2.77
2014-01-07,2.51,2.55,2.6,2.65,2.7,2.75
2014-01-08,2.51,2.55,2.6,2.64,2.69,2.75
2014-01-09,2.51,2.55,2.6,2.65,2.69,2.74
2014-01-10,2.51,2.55,2.6,2.65,2.69,2.73
2014-01-13,2.51,2.55,2.6,2.64,2.69,2.74
2014-01-14,2.51,2.55,2.6,2.64,2.69,2.74
2014-01-15,2.51,2.55,2.6,2.65,2.69,2.74
2014-01-16,2.51,2.55,2.6,2.65,2.7,2.75
2014-01-17,2.51,2.55,2.6,2.65,2.7,2.75
2014-01-20,2.51,2.55,2.6,2.65,2.7,2.74
2014-01-21,2.51,2.55,2.6,2.65,2.7,2.74
2014-01-22,2.51,2.55,2.6,2.65,2.71,2.75
2014-01-23,2.51,2.55,2.6,2.65,2.71,2.75
2014-01-24,2.51,2.55,2.6,2.65,2.7,2.74
2014-01-27,2.51,2.55,2.6,2.65,2.7,2.75
2014-01-28,2.51,2.56,2.6,2.65,2.71,2.76
2014-01-29,2.51,2.55,2.6,2.66,2.71,2.75
2014-02-03,2.51,2.55,2.6,2.65,2.71,2.75
2014-02-04,2.51,2.55,2.6,2.65,2.71,2.75
2014-02-05,2.51,2.55,2.6,2.65,2.71,2.75
2014-02-06,2.51,2.55,2.6,2.65,2.71,2.75
2014-02-07,2.51,2.55,2.6,2.65,2.7,2.75
2014-02-10,2.51,2.55,2.6,2.65,2.7,2.74
2014-02-11,2.51,2.55,2.6,2.65,2.7,2.74
2014-02-12,2.51,2.55,2.6,2.65,2.69,2.74
2014-02-13,2.51,2.55,2.6,2.65,2.69,2.74
2014-02-14,2.51,2.55,2.6,2.65,2.69,2.74
2014-02-17,2.51,2.55,2.6,2.65,2.7,2.74
2014-02-18,2.51,2.55,2.6,2.65,2.7,2.75
2014-02-19,2.51,2.55,2.6,2.65,2.69,2.74
2014-02-20,2.51,2.55,2.6,2.65,2.69,2.74
2014-02-21,2.51,2.55,2.6,2.65,2.7,2.75
2014-02-24,2.51,2.55,2.6,2.65,2.7,2.75
2014-02-25,2.51,2.55,2.6,2.65,2.69,2.75
2014-02-26,2.51,2.55,2.6,2.65,2.69,2.74
2014-02-27,2.51,2.55,2.6,2.65,2.7,2.74
2014-02-28,2.51,2.55,2.6,2.65,2.69,2.73
2014-03-03,2.5,2.55,2.6,2.65,2.69,2.73
2014-03-04,2.51,2.55,2.6,2.65,2.69,2.74
2014-03-05,2.51,2.55,2.6,2.65,2.7,2.75
2014-03-06,2.51,2.55,2.6,2.65,2.7,2.75
2014-03-07,2.51,2.55,2.6,2.65,2.7,2.75
2014-03-10,2.51,2.55,2.6,2.65,2.7,2.74
2014-03-11,2.51,2.55,2.6,2.65,2.7,2.74
2014-03-12,2.51,2.55,2.6,2.65,2.7,2.74
2014-03-13,2.51,2.55,2.6,2.65,2.7,2.74
2014-03-14,2.51,2.55,2.6,2.65,2.7,2.73
2014-03-17,2.5,2.55,2.6,2.65,2.69,2.72
2014-03-18,2.5,2.55,2.6,2.65,2.69,2.73
2014-03-19,2.5,2.55,2.6,2.65,2.69,2.73
2014-03-20,2.5,2.55,2.6,2.65,2.69,2.73
2014-03-21,2.5,2.55,2.6,2.65,2.69,2.73
2014-03-24,2.5,2.55,2.6,2.65,2.69,2.74
2014-03-25,2.5,2.55,2.6,2.65,2.69,2.74
2014-03-26,2.5,2.55,2.6,2.65,2.7,2.74
2014-03-27,2.5,2.55,2.6,2.65,2.69,2.74
2014-03-28,2.5,2.55,2.6,2.65,2.7,2.74
2014-03-31,2.5,2.55,2.6,2.65,2.7,2.74
2014-04-01,2.5,2.54,2.6,2.65,2.69,2.74
2014-04-02,2.5,2.55,2.6,2.65,2.69,2.74
2014-04-03,2.5,2.55,2.6,2.65,2.69,2.74
2014-04-04,2.5,2.55,2.6,2.65,2.69,2.73
2014-04-07,2.5,2.55,2.6,2.65,2.68,2.72
2014-04-08,2.5,2.55,2.6,2.65,2.68,2.72
2014-04-09,2.5,2.55,2.6,2.65,2.68,2.72
2014-04-10,2.5,2.55,2.6,2.65,2.68,2.71
2014-04-11,2.5,2.55,2.6,2.65,2.68,2.71
2014-04-14,2.5,2.55,2.6,2.65,2.68,2.72
2014-04-15,2.5,2.55,2.6,2.65,2.68,2.72
2014-04-16,2.5,2.55,2.6,2.65,2.68,2.72
2014-04-17,2.5,2.55,2.6,2.65,2.67,2.72
2014-04-18,2.5,2.55,2.6,2.65,2.68,2.73
2014-04-21,2.5,2.55,2.6,2.65,2.68,2.73
2014-04-22,2.5,2.55,2.6,2.65,2.68,2.73
2014-04-23,2.5,2.55,2.6,2.65,2.69,2.74
2014-04-24,2.5,2.55,2.6,2.65,2.69,2.75
2014-04-25,2.5,2.55,2.6,2.65,2.69,2.75
2014-04-28,2.5,2.55,2.6,2.65,2.69,2.74
2014-04-29,2.5,2.55,2.6,2.65,2.69,2.75
2014-04-30,2.5,2.55,2.6,2.65,2.69,2.75
2014-05-02,2.5,2.55,2.6,2.65,2.68,2.74
2014-05-07,2.5,2.55,2.6,2.65,2.68,2.73
2014-05-08,2.5,2.55,2.6,2.65,2.68,2.73
2014-05-09,2.5,2.55,2.6,2.65,2.68,2.73
2014-05-12,2.5,2.55,2.6,2.65,2.68,2.73
2014-05-13,2.5,2.55,2.6,2.65,2.68,2.72
2014-05-14,2.5,2.55,2.6,2.65,2.68,2.72
2014-05-15,2.5,2.55,2.6,2.65,2.67,2.72
2014-05-16,2.5,2.55,2.6,2.65,2.67,2.72
2014-05-19,2.5,2.55,2.6,2.65,2.67,2.72
2014-05-20,2.5,2.55,2.6,2.65,2.68,2.72
